"s","x","y","d","ID","sex","genus","species"
1295,1428,1469,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
1917,784,445,"mothra03.0624.2244","99.9%_s10g15","male","photinus","greeni"
1606,582,1063,"mothra03.0624.2244","99.9%_s10g15","male","photinus","greeni"
2413,1052,1328,"mothra03.0624.2244","99.9%_s10g15","male","photinus","greeni"
531,447,1463,"mothra03.0624.2244","99.9%_s10g15","male","photinus","greeni"
1130,425,90,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
225,461,84,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
386,1569,254,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
1941,227,783,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
2219,786,1037,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
1976,571,1123,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
819,1687,1255,"mothra03.0624.2246","99.9%_s10g15","male","photinus","greeni"
2131,806,422,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
2063,601,943,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
1935,1073,1180,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
634,1676,1237,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
285,1669,1279,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
299,394,1430,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
1719,1225,1560,"mothra03.0624.2248","99.9%_s10g15","male","photinus","greeni"
1237,501,44,"mothra03.0624.2250","99.9%_s10g15","male","photinus","greeni"
1847,804,354,"mothra03.0624.2250","99.9%_s10g15","male","photinus","greeni"
632,1792,712,"mothra03.0624.2250","99.9%_s10g15","male","photinus","greeni"
757,904,1596,"mothra03.0624.2250","99.9%_s10g15","male","photinus","greeni"
1561,298,195,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
225,1790,743,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
745,582,1108,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
1517,1302,1206,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
1530,1498,1267,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
772,1639,1374,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
1593,963,1404,"mothra03.0624.2252","99.9%_s10g15","male","photinus","greeni"
1554,1721,263,"mothra03.0624.2254","99.9%_s10g15","male","photinus","greeni"
1897,1293,651,"mothra03.0624.2254","99.9%_s10g15","male","photinus","greeni"
974,106,796,"mothra03.0624.2254","99.9%_s10g15","male","photinus","greeni"
2223,1307,1081,"mothra03.0624.2254","99.9%_s10g15","male","photinus","greeni"
1494,1486,1357,"mothra03.0624.2254","99.9%_s10g15","male","photinus","greeni"
